metrics,linear,exponential,powerlaw,quadratic,max_val,max_type
degree,0.527025951675,0.659888296153,0.636696010839,0.129394915972,0.6598882961531862,exponential
closeness,0.416875954448,0.530548063896,0.530679799143,0.00905454327995,0.5306797991428472,powerlaw
betweenness,0.00381681264295,0.0233351341794,0.023123177735,0.491086060718,0.49108606071782646,quadratic
strength,0.482834838365,0.542678809261,0.575671198811,0.311191180148,0.5756711988109945,powerlaw
eigenvector_centrality,0.421193761332,0.403129879291,0.40271092682,0.353155246316,0.421193761332348,linear
frequency,0.228874289056,0.253626343638,0.258764210307,0.00346143567547,0.2587642103067286,powerlaw
speech_acts,0.119786251305,0.27388578296,0.43164478629,0.307045875451,0.43164478629035785,powerlaw
words,0.107837205562,0.281260857005,0.544137665446,0.376852550371,0.5441376654456473,powerlaw
