,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,8,8,8,8,8,2,2,6.999499999999999,0.9999,-0.0001,6.999499999999999,0.353515,0.9999,1.9405,32.552
9,0,0,0,0,0,0,1,2,6.9935,0.9991,-0.0009,6.9935,0.35323499999999997,0.9991,5.75,132.0
8,0,0,0,0,0,0,1,1,6.995,0.9993,-0.0007,6.995,0.353305,0.9993,9.55,82.4
7,0,0,0,0,0,0,1,1,6.9965,0.9995,-0.0005,6.9965,0.353375,0.9995,13.350000000000001,181.60000000000002
6,0,0,0,0,0,0,1,1,6.997999999999999,0.9997,-0.00030000000000000003,6.997999999999999,0.353445,0.9997,15.25,231.2
5,0,0,0,0,0,0,1,1,7.000500000000001,1.0001,0.0001,7.000500000000001,0.353585,1.0001,17.15,479.2
4,0,0,0,0,0,0,1,0,7.002000000000001,1.0003,0.00030000000000000003,7.002000000000001,0.353655,1.0003,19.05,280.8
3,0,0,0,0,0,0,0,0,7.0035,1.0005,0.0005,7.0035,0.35373,1.0005,3.8499999999999996,330.4
2,0,0,0,0,0,0,0,0,7.005,1.0007,0.0007,7.005,0.353805,1.0007,7.65,380.0
1,0,0,0,0,0,0,0,0,7.0065,1.0009,0.0009,7.0065,0.353875,1.0009,11.45,429.6
