metrics,linear,exponential,powerlaw,quadratic,max_val,max_type
degree,0.529714229743,0.601158924426,0.584057880006,0.0881766762902,0.601158924426344,exponential
closeness,0.4362240317,0.558446973015,0.554353336122,0.383990974399,0.5584469730151249,exponential
betweenness,0.0258896072397,0.109588955467,0.111567367277,0.345302987775,0.34530298777520474,quadratic
strength,0.293459441972,0.385131804323,0.473643829964,0.0301047007613,0.4736438299638389,powerlaw
eigenvector_centrality,0.425620263149,0.616344006522,0.626248971141,0.612107437172,0.6262489711406817,powerlaw
frequency,0.175125874721,0.275079128671,0.368409898488,0.53345471392,0.5334547139197934,quadratic
speech_acts,0.103074099299,0.221201620565,0.424158934611,0.479221360688,0.4792213606876071,quadratic
words,0.0463051499958,0.239998831141,0.489937702637,0.301054349191,0.489937702636986,powerlaw
