metrics,linear,exponential,powerlaw,quadratic,max_val,max_type
degree,0.627222490616,0.633407684539,0.613267237153,0.336361963356,0.6334076845391194,exponential
closeness,0.556168351607,0.574578449397,0.575581057663,0.295556032761,0.575581057663199,powerlaw
betweenness,0.0638472699486,0.105810420491,0.105769999214,0.280668768812,0.28066876881152325,quadratic
strength,0.462517152098,0.509923777548,0.613447570368,0.040321460126,0.6134475703676792,powerlaw
eigenvector_centrality,0.548445778156,0.57192826137,0.582894941967,0.0308262367522,0.5828949419668314,powerlaw
frequency,0.438030770444,0.48703176098,0.649381152151,0.2033435883,0.6493811521506898,powerlaw
speech_acts,0.139707729211,0.22805188255,0.367873341673,0.278976289869,0.3678733416725385,powerlaw
words,0.298347131678,0.375677715091,0.513885948595,0.147190225795,0.5138859485947924,powerlaw
