index;avgpathlength;ID;characters_last_in;charcount;connected_components;filename;author;clustering_coefficient;change_rate_mean;subtitle;final_scene_size_index;maxdegree;title;edgecount;clustering_coefficient_random;component_sizes;segment_count;genretitle;density;year;average_path_length_random;all_in_index;change_rate_std;count_type;avgdegree;spearman_rho_avg;spearman_rho_std;top_rank_char_count;top_rank_char_avg;top_rank_char_std;spearman_rho_content_vs_network;degree_reg_type;degree_reg_val;closeness_reg_type;closeness_reg_val;betweenness_reg_type;betweenness_reg_val;strength_reg_type;strength_reg_val;eigenvector_centrality_reg_type;eigenvector_centrality_reg_val;frequency_reg_type;frequency_reg_val;speech_acts_reg_type;speech_acts_reg_val;words_reg_type;words_reg_val
191;1.7159090909090908;191;PIETRO FOLCHI,FILIPO FOLCHI,PRINZESSIN ALMA;33;1;1902-Wedekind_Frank-König_Nicolo_oder_So_ist_das_Leben-lina;Wedekind, Frank;0.8552711869427414;0.743490460157;Tragödie in fünf Aufzügen;0.09090909090909091;31;König Nicolo oder So ist das Leben;151;0.2854317390193902;[33];10;Tragödie;0.2859848484848485;1902;1.761191287878793;0.9;0.138137533934;acts;9.151515151515152;0.616955069782036;0.2880600338820499;2;1.25;;0.23520967163485648;quadratic;0.5016671320599482;quadratic;0.44388051304861453;quadratic;0.4916364941420569;quadratic;0.5239431701356114;quadratic;0.3841300435718016;quadratic;0.38380996195741457;quadratic;0.27918124923886245;quadratic;0.280911906503595
197;1.636923076923077;197;GOTTLIEB,WEIGELT,MARIE,RUDOLF;26;1;1876-LArronge_Adolph-Mein_Leopold-lina;L'Arronge, Adolph;0.8505083855970972;0.626501322751;Volksstück in drei Akten;0.15384615384615385;21;Mein Leopold;132;0.4054555821612831;[26];61;;0.40615384615384614;1876;1.6001907692307726;0.7868852459016393;0.227075476629;scenes;10.153846153846153;0.8469050906548947;0.08471956610641587;1;1.75;;0.8572165441674197;powerlaw;0.6773531711368247;powerlaw;0.7281710880718492;quadratic;0.623826212644;powerlaw;0.637508437003959;quadratic;0.6613004888484831;quadratic;0.5033372316023326;quadratic;0.608013676525075;quadratic;0.5602938961378541
231;1.7573529411764706;231;RÜBEZAHL,QUIWI;17;1;1904-Scheerbart_Paul-Rübezahl-lina;Scheerbart, Paul;0.8538249332366978;0.614322344322;Schauspiel in fünf Aufzügen;0.11764705882352941;14;Rübezahl;47;0.3436898447957272;[17];66;Schauspiel;0.34558823529411764;1904;1.7397794117647047;0.7727272727272727;0.25504383165;scenes;5.529411764705882;0.8562214057221768;0.13336928475265744;1;1.0;;0.9131281779021856;powerlaw;0.4590617115058927;powerlaw;0.6072606857853619;quadratic;0.27311565335829524;powerlaw;0.41978768347147866;quadratic;0.26847865528436166;powerlaw;0.3096357534593218;powerlaw;0.3708875465028233;quadratic;0.3525303281707559
1;1.0;1;IPHIGENIE,THOAS,OREST;5;1;1787-Goethe_Johann_Wolfgang_von-Iphigenie_auf_Tauris-lina;Goethe, Johann Wolfgang von;1.0;0.598245614035;Ein Schauspiel;0.6;4;Iphigenie auf Tauris;10;1.0;[5];20;Schauspiel;1.0;1787;1.0;0.25;0.16275180552;scenes;4.0;0.9415232485651552;0.05366747988943594;1;1.0;;0.9999999999999999;powerlaw;0.0999900634590416;powerlaw;0.09998556794097246;quadratic;0.0033670033670031296;powerlaw;0.49688602789274827;linear;0.5151767238968736;quadratic;0.5533691282579412;powerlaw;0.23322612773206042;powerlaw;0.35505227558255226
281;1.564102564102564;281;ADOLPH,HENRIETTE,GRAF,AMALIE,GRÄFIN,STEIN;13;1;1801-Kotzebue_August_von-Die_beiden_Klingsberg-lina;Kotzebue, August von;0.73993228993229;0.590386343217;Ein Lustspiel in vier Akten;0.46153846153846156;11;Die beiden Klingsberg;36;0.4571777722277715;[13];54;Lustspiel;0.46153846153846156;1801;1.5664871794871722;0.8703703703703703;0.209926694591;scenes;5.538461538461538;0.8821623700454653;0.07687400938267909;2;1.5;;0.8756906077348067;powerlaw;0.6063472636847462;powerlaw;0.6444299340139354;quadratic;0.297306580417526;powerlaw;0.4960669384152351;powerlaw;0.4178455294625877;quadratic;0.43866867787067043;quadratic;0.4525565556015212;powerlaw;0.43415066660520807
379;1.509090909090909;379;ADRAST,THEOPHAN,LISETTE,FRAU PHILANE,LISIDOR;11;1;1755-Lessing_Gotthold_Ephraim-Der_Freigeist-lina;Lessing, Gotthold Ephraim;0.8244588744588746;0.529761904762;Ein Lustspiel in fünf Aufzügen;0.45454545454545453;9;Der Freigeist;29;0.5242279220779212;[11];35;Lustspiel;0.5272727272727272;1755;1.487454545454556;1.0;0.193542588319;scenes;5.2727272727272725;0.8514804956620008;0.08591268512343268;1;1.0;;0.7762638004612793;powerlaw;0.5199719299240043;powerlaw;0.5386947089305334;quadratic;0.2535892729189603;powerlaw;0.43109152309460674;powerlaw;0.3847438806801111;quadratic;0.45049639692274057;powerlaw;0.4242188548917667;quadratic;0.42483898206379833
332;1.0;332;IBN BULLAK,BIMMELMANN,VON MOHRENHEIM;3;1;1904-Scheerbart_Paul-Der_Schornsteinfeger-lina;Scheerbart, Paul;1.0;;Constantinopolitanische Offizierstragödie;1.0;2;Der Schornsteinfeger;3;1.0;[3];1;Tragödie;1.0;1904;1.0;1.0;;acts;2.0;1.0;0.0;1;1.0;;;powerlaw;0.09998786463884757;powerlaw;0.09998556794097246;quadratic;0.0033670033670032407;powerlaw;0.09998786463884757;powerlaw;0.09998468720689146;powerlaw;0.09998556794097246;linear;0.3491626812167056;powerlaw;0.2915258900697889
457;1.1818181818181819;457;SCHNAKE,STEINKIRCH,BOLZAU,WILHELMINE,SCHEFFLER,BRIMBORIUS,HARTWIG,BERTHA,LUDMILLA;11;1;1862-Moser_Gustav_von-Das_Stiftungsfest-lina;Moser, Gustav von;0.931818181818182;0.603135698724;Schwank in 3 Aufzügen;0.8181818181818182;10;Das Stiftungsfest;45;0.8175804473304491;[11];52;;0.8181818181818182;1862;1.1818181818181697;0.40384615384615385;0.236854040645;scenes;8.181818181818182;0.7433189469843958;0.15771324216383004;1;1.5;;0.7425987375524745;exponential;0.5353057388507797;exponential;0.4197799933602796;quadratic;0.5531366978773513;powerlaw;0.6069183211794711;powerlaw;0.626481644999794;powerlaw;0.45621094941912754;powerlaw;0.563880027426644;powerlaw;0.6174135357240012
161;1.5099715099715099;161;DIE GÄSTE,ANNA,DAHLSJÖ,ELIS,KNECHT,DIE BERGLEUTE,ZWEITE MAGD,GROSSMUTTER,ERSTE MAGD;27;1;1899-Hofmannsthal_Hugo_von-Das_Bergwerk_zu_Falun-lina;Hofmannsthal, Hugo von;0.9273465677387246;0.578571428571;;0.3333333333333333;26;Das Bergwerk zu Falun;172;0.48945603099334495;[27];5;;0.49002849002849;1899;1.5102877492877704;1.0;0.236026728953;acts;12.74074074074074;0.580715047816324;0.25537792952529614;1;1.0;;0.26637491277367326;quadratic;0.40878634725790386;quadratic;0.6671959770918766;quadratic;0.27310495917024513;powerlaw;0.3935719692183234;quadratic;0.24964300690539565;quadratic;0.34575481158959476;quadratic;0.4043271539979961;quadratic;0.36067725255204597
309;1.4363636363636363;309;MEISTER ANTON,DER SEKRETÄR,KARL;11;1;1844-Hebbel_Friedrich-Maria_Magdalene-lina;Hebbel, Friedrich;0.7545454545454546;0.51966873706;Ein bürgerliches Trauerspiel in drei Akten;0.2727272727272727;10;Maria Magdalene;31;0.5636152236652234;[11];24;Trauerspiel;0.5636363636363636;1844;1.4434909090909125;0.6666666666666666;0.178954340862;scenes;5.636363636363637;0.8071971202014456;0.14509082837520457;1;1.0;;0.5785892004243207;powerlaw;0.6155939945442347;powerlaw;0.5158682551474807;quadratic;0.3279639994808655;powerlaw;0.48282221086434585;powerlaw;0.3482604232684612;quadratic;0.42352899376275377;powerlaw;0.37996404419797947;powerlaw;0.531236808921238
