,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,4,8,4,4,4,6,5,2.5,0.7585,0.0074745,3.376,0.197,2.3365,12.484,235.61100000000002
9,3,3,4,3,3,4,4,4,9.5,0.4975,0.14350000000000002,8.2,0.0311,5.050000000000001,59.0,1153.5
8,2,3,1,2,2,3,2,3,1.495,0.628,0.02265,13.0,0.0865,10.45,35.8,1611.3000000000002
7,2,2,1,2,2,2,2,1,5.5,0.5409999999999999,0.06795,27.4,0.36250000000000004,7.75,82.19999999999999,695.7
6,2,1,1,1,1,1,1,1,10.5,0.41000000000000003,0.08299999999999999,17.8,0.14150000000000001,13.15,221.4,2069.1
5,1,1,0,1,1,1,0,1,3.5,0.6715,0.03775,22.6,0.2525,26.65,105.4,4358.1
4,1,1,0,1,1,0,0,0,4.5,0.802,0.05285,32.2,0.41800000000000004,15.85,128.6,2526.9
3,1,0,0,1,1,0,0,0,6.5,0.45399999999999996,0.09825,46.6,0.5285,18.549999999999997,151.8,2984.7
2,0,0,0,0,0,0,0,0,7.5,0.5845,0.11349999999999999,37.0,0.3075,21.25,175.0,3442.5
1,0,0,0,0,0,0,0,0,8.5,0.715,0.1285,41.8,0.47350000000000003,23.950000000000003,198.2,3900.3
