rank_name,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank
degree_rank,,0.9405116213532045,0.5934121384474479,0.8939905699122209,0.8830431370482209,0.69422145613577,0.5376917884903254,0.5163497508654349
closeness_rank,0.9405116213532045,,0.7434499415533504,0.7939902183795867,0.7820431113147996,0.6474474382394443,0.5451649373440942,0.5485089147502609
betweenness_rank,0.5934121384474479,0.7434499415533504,,0.4851728988338735,0.46834408965066054,0.6402915658794279,0.6981999711239136,0.6929461198936085
strength_rank,0.8939905699122209,0.7939902183795867,0.4851728988338735,,0.9967830050318504,0.8392527422145991,0.6168316831683168,0.5434085097285941
eigenvector_centrality_rank,0.8830431370482209,0.7820431113147996,0.46834408965066054,0.9967830050318504,,0.8368023137342261,0.6194011572975971,0.5353610941563092
frequency_rank,0.69422145613577,0.6474474382394443,0.6402915658794279,0.8392527422145991,0.8368023137342261,,0.7761903888494985,0.6266687418332116
speech_acts_rank,0.5376917884903254,0.5451649373440942,0.6981999711239136,0.6168316831683168,0.6194011572975971,0.7761903888494985,,0.8874600513910768
words_rank,0.5163497508654349,0.5485089147502609,0.6929461198936085,0.5434085097285941,0.5353610941563092,0.6266687418332116,0.8874600513910768,
