rank_name,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank
degree_rank,,1.0,0.9754262200082647,1.0,0.9857474895770961,0.9620635857582758,0.6514853447586254,0.5391618372379863
closeness_rank,1.0,,0.9754262200082647,1.0,0.9857474895770961,0.9620635857582758,0.6514853447586254,0.5391618372379863
betweenness_rank,0.9754262200082647,0.9754262200082647,,0.9754262200082647,0.9615239476408232,0.9863007227241896,0.5866453129456347,0.4997419354666801
strength_rank,1.0,1.0,0.9754262200082647,,0.9857474895770961,0.9620635857582758,0.6514853447586254,0.5391618372379863
eigenvector_centrality_rank,0.9857474895770961,0.9857474895770961,0.9615239476408232,0.9857474895770961,,0.9483517644747597,0.6520960697090747,0.5439583064575767
frequency_rank,0.9620635857582758,0.9620635857582758,0.9863007227241896,0.9620635857582758,0.9483517644747597,,0.6486160555757263,0.5724861317831413
speech_acts_rank,0.6514853447586254,0.6514853447586254,0.5866453129456347,0.6514853447586254,0.6520960697090747,0.6486160555757263,,0.9188641534339349
words_rank,0.5391618372379863,0.5391618372379863,0.4997419354666801,0.5391618372379863,0.5439583064575767,0.5724861317831413,0.9188641534339349,
