rank_name,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank
degree_rank,,1.0,0.9320827648567408,0.7412493166611012,0.7412493166611012,0.7479575920067657,0.48181205582971576,0.40768712416360564
closeness_rank,1.0,,0.9320827648567408,0.7412493166611012,0.7412493166611012,0.7479575920067657,0.48181205582971576,0.40768712416360564
betweenness_rank,0.9320827648567408,0.9320827648567408,,0.5613608914238398,0.5613608914238398,0.6136446160401058,0.39295262399668784,0.35552856456843185
strength_rank,0.7412493166611012,0.7412493166611012,0.5613608914238398,,1.0,0.9549937104572925,0.7142857142857143,0.5357142857142857
eigenvector_centrality_rank,0.7412493166611012,0.7412493166611012,0.5613608914238398,1.0,,0.9549937104572925,0.7142857142857143,0.5357142857142857
frequency_rank,0.7479575920067657,0.7479575920067657,0.6136446160401058,0.9549937104572925,0.9549937104572925,,0.6847124716486248,0.5405624776173353
speech_acts_rank,0.48181205582971576,0.48181205582971576,0.39295262399668784,0.7142857142857143,0.7142857142857143,0.6847124716486248,,0.8928571428571429
words_rank,0.40768712416360564,0.40768712416360564,0.35552856456843185,0.5357142857142857,0.5357142857142857,0.5405624776173353,0.8928571428571429,
