,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,15,15,30,14,17,27,33,33,20.0,0.656,0.005346,19.25,0.06295,1.594,7.92,192.45600000000002
9,6,6,6,10,7,7,4,4,3.98,0.508,0.027,7.6925,0.025325,6.4,24.0,583.2
8,6,5,4,6,4,3,2,2,12.0,0.7055,0.0162,42.25,0.1375,2.8,40.0,972.0
7,4,4,1,4,4,3,2,2,24.0,0.5575,0.0378,65.25,0.175,4.0,56.0,1749.6
6,4,4,1,3,4,2,2,2,28.0,0.8045,0.0593,30.75,0.2875,7.6,104.0,3693.6
5,4,3,1,3,3,1,1,1,32.0,0.6065,0.0701,76.75,0.10035,5.199999999999999,152.0,2916.0
4,2,3,1,2,2,1,0,0,36.0,0.755,0.10255,53.75,0.21250000000000002,12.4,72.0,1360.8000000000002
3,2,2,0,1,2,0,0,0,40.0,0.8534999999999999,0.04855,88.25,0.25,8.8,88.0,2138.4
2,1,1,0,1,1,0,0,0,8.0,0.903,0.0809,111.25,0.3625,10.0,120.0,2527.2
1,0,1,0,0,0,0,0,0,16.0,0.9525,0.0917,99.75,0.32499999999999996,11.2,136.0,3304.8
