rank_name,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank
degree_rank,,0.9939004521950147,0.8171161978401794,0.9549099130518505,0.9249737987633905,0.8624540423279644,0.764722798454578,0.7154952090736388
closeness_rank,0.9939004521950147,,0.813645761029573,0.9565939424729862,0.9160500909318144,0.868636086743976,0.7874090136776208,0.7372666273988677
betweenness_rank,0.8171161978401794,0.813645761029573,,0.7622665160145135,0.7283477753918194,0.8641918002085409,0.7508034819045731,0.7369695023517779
strength_rank,0.9549099130518505,0.9565939424729862,0.7622665160145135,,0.9818166251660088,0.9180590679375843,0.8183546478291807,0.7847013722795773
eigenvector_centrality_rank,0.9249737987633905,0.9160500909318144,0.7283477753918194,0.9818166251660088,,0.9045416951087099,0.8113766711901617,0.7891226385293288
frequency_rank,0.8624540423279644,0.868636086743976,0.8641918002085409,0.9180590679375843,0.9045416951087099,,0.8960978329421111,0.8766419020600819
speech_acts_rank,0.764722798454578,0.7874090136776208,0.7508034819045731,0.8183546478291807,0.8113766711901617,0.8960978329421111,,0.9768770754616275
words_rank,0.7154952090736388,0.7372666273988677,0.7369695023517779,0.7847013722795773,0.7891226385293288,0.8766419020600819,0.9768770754616275,
