metrics,linear,exponential,powerlaw,quadratic,max_val,max_type
degree,0.519669001799,0.552246127557,0.619846183579,0.00403822047538,0.6198461835788964,powerlaw
closeness,0.46494284839,0.512217031744,0.526939678949,0.297161256801,0.5269396789492056,powerlaw
betweenness,0.0201969613723,0.0630507544828,0.0640138652953,0.304420269702,0.3044202697016716,quadratic
strength,0.407247401037,0.46996122119,0.578251569036,0.297353150519,0.5782515690364589,powerlaw
eigenvector_centrality,0.502690488406,0.579535802481,0.5829960554,0.491535918024,0.5829960554000593,powerlaw
frequency,0.36834254409,0.395629326381,0.468565243575,0.0212612456432,0.4685652435746901,powerlaw
speech_acts,0.295900823865,0.446899372951,0.489250941302,0.622024453382,0.6220244533823951,quadratic
words,0.147284216813,0.207654466984,0.399159812581,0.288349776486,0.39915981258139643,powerlaw
