metrics,linear,exponential,powerlaw,quadratic,max_val,max_type
degree,0.0713465492149,0.178966714435,0.442255370184,0.693111764206,0.6931117642060463,quadratic
closeness,0.309988946941,0.546730252042,0.569902698406,0.0409046832537,0.5699026984063207,powerlaw
betweenness,0.00135754736314,0.0486364757631,0.0522211578799,0.618644181608,0.6186441816084653,quadratic
strength,0.0172481297943,0.0769015864932,0.280592354045,0.68122508341,0.681225083409632,quadratic
eigenvector_centrality,0.034776829355,0.141956380676,0.141254535473,0.375678366514,0.37567836651414743,quadratic
frequency,0.00272367729603,0.0422759202713,0.107074908743,0.543904984251,0.5439049842506369,quadratic
speech_acts,0.00122463760604,0.031054173049,0.136885094857,0.520194395738,0.5201943957375295,quadratic
words,0.00121045801027,0.0306215037803,0.177018648157,0.395429199582,0.3954291995824346,quadratic
