,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,9,7,7,7,6,6,1.495,0.521,0.0177705,4.574,0.0449,2.5345,14.0185,322.0775
9,2,3,1,2,2,2,3,2,2.5,0.648,0.0538,15.0,0.5535,11.850000000000001,119.35,2863.25
8,2,2,1,2,1,2,2,2,3.5,0.5635,0.1255,46.2,0.158,30.45,250.85,6035.75
7,2,2,1,1,1,1,1,1,5.5,0.606,0.16099999999999998,20.200000000000003,0.2145,8.75,40.45,959.75
6,1,1,1,1,1,1,1,1,4.5,0.817,0.34099999999999997,51.4,0.271,24.25,198.25,2228.75
5,1,1,0,0,1,0,0,1,8.5,0.8594999999999999,0.08985,9.8,0.4405,5.65,66.75,3497.75
4,1,1,0,0,0,0,0,0,9.5,0.902,0.197,25.4,0.10170000000000001,14.95,93.05000000000001,1594.25
3,1,0,0,0,0,0,0,0,10.5,0.6905,0.23299999999999998,30.6,0.3275,18.05,145.65,4132.25
2,0,0,0,0,0,0,0,0,6.5,0.733,0.269,35.8,0.384,21.15,171.95,4766.75
1,0,0,0,0,0,0,0,0,7.5,0.775,0.305,41.0,0.497,27.35,224.55,5401.25
