metrics,linear,exponential,powerlaw,quadratic,max_val,max_type
degree,0.217139225484,0.380260150262,0.552834877582,0.220157461842,0.55283487758235,powerlaw
closeness,0.388863609947,0.51867090444,0.542329363341,0.097485038025,0.5423293633410575,powerlaw
betweenness,0.00333344583124,0.0330734947974,0.035702312275,0.415405206141,0.4154052061413317,quadratic
strength,0.182690799418,0.380560142013,0.615138347117,0.631558299128,0.6315582991282589,quadratic
eigenvector_centrality,0.156651991499,0.400231360919,0.408425756311,0.327372992746,0.40842575631094635,powerlaw
frequency,0.0502958361154,0.194517837522,0.300300849464,0.57274532803,0.5727453280295458,quadratic
speech_acts,0.0150416440193,0.114092106874,0.286511349498,0.486984779089,0.4869847790891597,quadratic
words,0.0119575001878,0.0937750916711,0.325451363163,0.518612967313,0.5186129673132982,quadratic
