metrics,linear,exponential,powerlaw,quadratic,max_val,max_type
degree,0.310415029294,0.366887009474,0.358698692224,0.0870765909889,0.3668870094742974,exponential
closeness,0.288762069757,0.34459785459,0.345713082756,0.0542690387459,0.3457130827564331,powerlaw
betweenness,0.0662666348795,0.113371519469,0.113311508321,0.491439412123,0.49143941212277775,quadratic
strength,0.361125611753,0.377642164101,0.4271303527,0.569368106306,0.5693681063063454,quadratic
eigenvector_centrality,0.183570293987,0.250724271404,0.249595929954,0.209641166747,0.2507242714037725,exponential
frequency,0.192870421896,0.192870421896,0.192544403707,1.21146008558e-07,0.19287042189605086,linear
speech_acts,0.0133639015223,0.0734102150738,0.164415092527,0.273110984396,0.2731109843961056,quadratic
words,0.0216669481015,0.101792296385,0.29387583192,0.340287773992,0.34028777399190857,quadratic
