index;degree;closeness;betweenness;strength;eigenvector_centrality;frequency;speech_acts;words;('degree', 'q4');('degree', 'q3');('degree', 'q2');('degree', 'q1');('closeness', 'q4');('closeness', 'q3');('closeness', 'q2');('closeness', 'q1');('betweenness', 'q4');('betweenness', 'q3');('betweenness', 'q2');('betweenness', 'q1');('strength', 'q4');('strength', 'q3');('strength', 'q2');('strength', 'q1');('eigenvector_centrality', 'q4');('eigenvector_centrality', 'q3');('eigenvector_centrality', 'q2');('eigenvector_centrality', 'q1');('frequency', 'q4');('frequency', 'q3');('frequency', 'q2');('frequency', 'q1');('speech_acts', 'q4');('speech_acts', 'q3');('speech_acts', 'q2');('speech_acts', 'q1');('words', 'q4');('words', 'q3');('words', 'q2');('words', 'q1')
136;5.0;5.0;0.0909090909090909;0.5;1.0;0.0909090909090909;0.07142857142857142;0.07142857142857142;0.29411764705882354;0.11764705882352941;0.5294117647058824;0.058823529411764705;0.29411764705882354;0.0;0.6470588235294118;0.058823529411764705;0.058823529411764705;0.0;0.29411764705882354;0.6470588235294118;0.29411764705882354;0.058823529411764705;0.058823529411764705;0.5882352941176471;0.29411764705882354;0.058823529411764705;0.35294117647058826;0.29411764705882354;0.058823529411764705;0.11764705882352941;0.17647058823529413;0.6470588235294118;0.058823529411764705;0.0;0.11764705882352941;0.8235294117647058;0.058823529411764705;0.0;0.11764705882352941;0.8235294117647058
436;0.8;1.25;0.21052631578947367;0.4444444444444444;1.25;0.2222222222222222;0.05555555555555555;0.05555555555555555;0.17391304347826086;0.43478260869565216;0.17391304347826086;0.21739130434782608;0.21739130434782608;0.5652173913043478;0.043478260869565216;0.17391304347826086;0.17391304347826086;0.0;0.0;0.8260869565217391;0.17391304347826086;0.043478260869565216;0.391304347826087;0.391304347826087;0.21739130434782608;0.391304347826087;0.21739130434782608;0.17391304347826086;0.17391304347826086;0.0;0.043478260869565216;0.782608695652174;0.043478260869565216;0.043478260869565216;0.13043478260869565;0.782608695652174;0.043478260869565216;0.08695652173913043;0.08695652173913043;0.782608695652174
322;6.0;6.0;0.6363636363636365;1.125;1.25;1.0;0.058823529411764705;0.045454545454545456;0.48;0.08;0.36;0.08;0.48;0.08;0.36;0.08;0.28;0.0;0.28;0.44;0.36;0.12;0.2;0.32;0.4;0.12;0.16;0.32;0.24;0.28;0.24;0.24;0.04;0.0;0.28;0.68;0.04;0.0;0.08;0.88
275;1.3333333333333333;1.0;0.06666666666666667;0.5;0.7142857142857143;0.1111111111111111;0.2222222222222222;0.3;0.23529411764705882;0.4117647058823529;0.17647058823529413;0.17647058823529413;0.17647058823529413;0.4117647058823529;0.23529411764705882;0.17647058823529413;0.058823529411764705;0.058823529411764705;0.0;0.8823529411764706;0.17647058823529413;0.23529411764705882;0.23529411764705882;0.35294117647058826;0.29411764705882354;0.17647058823529413;0.11764705882352941;0.4117647058823529;0.058823529411764705;0.17647058823529413;0.23529411764705882;0.5294117647058824;0.11764705882352941;0.17647058823529413;0.17647058823529413;0.5294117647058824;0.17647058823529413;0.11764705882352941;0.11764705882352941;0.5882352941176471
207;2.0;2.0;0.5;1.5;1.5;1.0;1.0;0.3333333333333333;0.3333333333333333;0.5;0.0;0.16666666666666666;0.3333333333333333;0.5;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.6666666666666666;0.5;0.16666666666666666;0.0;0.3333333333333333;0.5;0.16666666666666666;0.0;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.5
28;0.25;0.4166666666666667;0.0625;0.2;0.1923076923076923;0.06666666666666667;0.06451612903225806;0.05555555555555556;0.12195121951219512;0.17073170731707318;0.21951219512195122;0.4878048780487805;0.12195121951219512;0.1951219512195122;0.3902439024390244;0.2926829268292683;0.04878048780487805;0.04878048780487805;0.12195121951219512;0.7804878048780488;0.12195121951219512;0.024390243902439025;0.24390243902439024;0.6097560975609756;0.12195121951219512;0.04878048780487805;0.1951219512195122;0.6341463414634146;0.04878048780487805;0.04878048780487805;0.17073170731707318;0.7317073170731707;0.04878048780487805;0.04878048780487805;0.14634146341463414;0.7560975609756098;0.04878048780487805;0.0;0.07317073170731707;0.8780487804878049
230;1.0;0.39999999999999997;0.39999999999999997;0.5;0.5;1.0;0.5;0.6666666666666666;0.2857142857142857;0.0;0.42857142857142855;0.2857142857142857;0.2857142857142857;0.0;0.0;0.7142857142857143;0.2857142857142857;0.0;0.0;0.7142857142857143;0.2857142857142857;0.0;0.14285714285714285;0.5714285714285714;0.2857142857142857;0.14285714285714285;0.0;0.5714285714285714;0.2857142857142857;0.0;0.42857142857142855;0.2857142857142857;0.2857142857142857;0.0;0.14285714285714285;0.5714285714285714;0.2857142857142857;0.0;0.2857142857142857;0.42857142857142855
302;0.07407407407407407;0.16666666666666666;0.05405405405405406;0.05714285714285714;0.05714285714285714;0.02857142857142857;0.05555555555555555;0.02702702702702703;0.05128205128205128;0.0;0.2564102564102564;0.6923076923076923;0.05128205128205128;0.5897435897435898;0.05128205128205128;0.3076923076923077;0.05128205128205128;0.0;0.0;0.9487179487179487;0.05128205128205128;0.0;0.05128205128205128;0.8974358974358975;0.05128205128205128;0.02564102564102564;0.02564102564102564;0.8974358974358975;0.02564102564102564;0.02564102564102564;0.05128205128205128;0.8974358974358975;0.05128205128205128;0.0;0.02564102564102564;0.9230769230769231;0.02564102564102564;0.02564102564102564;0.0;0.9487179487179487
132;0.4666666666666666;0.3125;0.029411764705882353;0.18181818181818182;0.23809523809523808;0.07142857142857142;0.030303030303030304;0.0625;0.1794871794871795;0.20512820512820512;0.23076923076923078;0.38461538461538464;0.1282051282051282;0.15384615384615385;0.3076923076923077;0.41025641025641024;0.02564102564102564;0.0;0.10256410256410256;0.8717948717948718;0.10256410256410256;0.10256410256410256;0.23076923076923078;0.5641025641025641;0.1282051282051282;0.07692307692307693;0.2564102564102564;0.5384615384615384;0.05128205128205128;0.10256410256410256;0.1282051282051282;0.717948717948718;0.02564102564102564;0.02564102564102564;0.10256410256410256;0.8461538461538461;0.05128205128205128;0.07692307692307693;0.05128205128205128;0.8205128205128205
137;0.043478260869565216;0.2;0.03225806451612903;0.041666666666666664;0.09090909090909091;0.034482758620689655;0.034482758620689655;0.03225806451612903;0.03125;0.09375;0.15625;0.71875;0.03125;0.125;0.6875;0.15625;0.03125;0.0;0.0;0.96875;0.03125;0.03125;0.1875;0.75;0.0625;0.0625;0.1875;0.6875;0.03125;0.03125;0.03125;0.90625;0.03125;0.0;0.0625;0.90625;0.03125;0.0;0.0;0.96875
