rank_name,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank
degree_rank,,1.0,0.8137334712067349,0.9617692030835673,0.7668159862423036,0.4643002821097108,0.8498050347983337,0.6722338334971893
closeness_rank,1.0,,0.8137334712067349,0.9617692030835673,0.7668159862423036,0.4643002821097108,0.8498050347983337,0.6722338334971893
betweenness_rank,0.8137334712067349,0.8137334712067349,,0.7826237921249264,0.7826237921249264,0.7875615306482168,0.7325886315065457,0.7637626158259733
strength_rank,0.9617692030835673,0.9617692030835673,0.7826237921249264,,0.85,0.5786277962406218,0.9027075674773932,0.7563225565351133
eigenvector_centrality_rank,0.7668159862423036,0.7668159862423036,0.7826237921249264,0.85,,0.8427839640896012,0.8539125638299666,0.6831300510639733
frequency_rank,0.4643002821097108,0.4643002821097108,0.7875615306482168,0.5786277962406218,0.8427839640896012,,0.6260614855788013,0.7119914934033427
speech_acts_rank,0.8498050347983337,0.8498050347983337,0.7325886315065457,0.9027075674773932,0.8539125638299666,0.6260614855788013,,0.8333333333333334
words_rank,0.6722338334971893,0.6722338334971893,0.7637626158259733,0.7563225565351133,0.6831300510639733,0.7119914934033427,0.8333333333333334,
